METADATACOMPONENTID  METADATACOMPONENTNAME              METADATACOMPONENTTYPE  REFMETADATACOMPONENTID  REFMETADATACOMPONENTNAME         REFMETADATACOMPONENTTYPE
───────────────────  ─────────────────────────────────  ─────────────────────  ──────────────────────  ───────────────────────────────  ────────────────────────
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIezQAF      BotController                    ApexClass
01p1U00000LeIf5QAF   BotRecord                          ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfEQAV   HandlerFileUpload                  ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfFQAV   HandlerFindAccount                 ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfGQAV   HandlerFindContact                 ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfHQAV   HandlerFindProperties              ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfIQAV   HandlerFindPropertiesByBedrooms    ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfMQAV   HandlerImageBasedSearch            ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfNQAV   HandlerMyOpenCases                 ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfOQAV   HandlerNext                        ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfRQAV   HandlerSOQL                        ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfSQAV   HandlerTopOpportunities            ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIfTQAV   HandlerTravelApproval              ApexClass              01p1U00000LeIf0QAF      BotField                         ApexClass
01p1U00000LeIezQAF   BotController                      ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIf7QAF   BotTest                            ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfBQAV   HandlerAddTwoNumbers               ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfCQAV   HandlerCostCenter                  ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfDQAV   HandlerEmployeeId                  ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfEQAV   HandlerFileUpload                  ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfFQAV   HandlerFindAccount                 ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfGQAV   HandlerFindContact                 ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfHQAV   HandlerFindProperties              ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfIQAV   HandlerFindPropertiesByBedrooms    ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfJQAV   HandlerHello                       ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfKQAV   HandlerHelp                        ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfLQAV   HandlerHelpTopic                   ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfMQAV   HandlerImageBasedSearch            ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfNQAV   HandlerMyOpenCases                 ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfOQAV   HandlerNext                        ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfPQAV   HandlerPipeline                    ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfQQAV   HandlerQuarter                     ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfRQAV   HandlerSOQL                        ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfSQAV   HandlerTopOpportunities            ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIfTQAV   HandlerTravelApproval              ApexClass              01p1U00000LeIf1QAF      BotHandler                       ApexClass
01p1U00000LeIf3QAF   BotMessage                         ApexClass              01p1U00000LeIf2QAF      BotItem                          ApexClass
01p1U00000LeIfKQAV   HandlerHelp                        ApexClass              01p1U00000LeIf2QAF      BotItem                          ApexClass
01p1U00000LeIfLQAV   HandlerHelpTopic                   ApexClass              01p1U00000LeIf2QAF      BotItem                          ApexClass
01p1U00000LeIezQAF   BotController                      ApexClass              01p1U00000LeIf3QAF      BotMessage                       ApexClass
